Run, Luminosity, #Events, Events/lumi
315721, 0.210579169, 22348.0, 106126.35668630642
315641, 0.001237309, 581098.0, 469646628.28767914
315642, 0.031431098, 1149361.0, 36567637.56709995
315644, 0.063159684, 3257109.0, 51569431.53800453
315646, 0.191964439, 182426.0, 950311.427211787
315647, 0.008018192, 348761.0, 43496214.60798145
315648, 0.015226137, 6195729.0, 406914045.23681873
315702, 0.022853106, 3326509.0, 145560476.54966462
315703, 0.158162019, 326278.0, 2062935.223405311
315704, 0.014739015, 3028850.0, 205498807.07767785
315705, 0.132384757, 6883764.0, 51998161.69168177
316061, 0.006146917, 382860.0, 62284881.99856936
315974, 0.018532205, 0.0, 0.0
316062, 0.000698283, 151503.0, 216965041.3943917
316082, 0.141359586, 17423.0, 123253.04914234822
316110, 0.081969483, 2844761.0, 34705123.12490735
316111, 0.015161958, 1720132.0, 113450518.7258796
316114, 0.367994967, 462471.0, 1256731.8617702725
316153, 0.256240431, 8508850.0, 33206508.304694507
316186, 0.015153677, 5749697.0, 379425864.75876445
316187, 0.512428751, 307652.0, 600380.0516649778
316200, 0.00222618, 8600287.0, 3863248704.0580726
316201, 0.110093155, 51861.0, 471064.70879138674
316202, 0.075106131, 2606934.0, 34710002.56956386
316217, 0.088158861, 3530307.0, 40044834.517542146
316219, 0.048978441, 5336375.0, 108953549.58317274
316241, 0.053194396, 6755544.0, 126997287.45862629
316271, 0.02969808, 1324757.0, 44607496.511558995
316363, 0.004611485, 1324264.0, 287166498.42729616
316377, 0.00198607, 115907.0, 58359977.24148696
316380, 0.175280166, 183764.0, 1048401.5630154071
316455, 0.009607083, 4278945.0, 445394819.6346383
316457, 0.326273293, 200001.0, 612986.120197095
316469, 0.148877856, 7442627.0, 49991497.72817792
316472, 0.066237151, 2656495.0, 40105816.14538343
316590, 0.189247294, 0.0, 0.0
316613, 0.031466211, 10932654.0, 347441069.40616393
316667, 0.042140099, 6371800.0, 151205150.22995082
316702, 0.095461886, 3214545.0, 33673596.18266918
316715, 0.003000536, 2236022.0, 745207522.9225712
316716, 0.061792771, 62832.0, 1016817.9705033781
316719, 0.032449482, 2015005.0, 62096676.92075947
316721, 0.003260078, 959636.0, 294359828.20042956
316722, 0.134760529, 76318.0, 566323.0959860658
316723, 0.009621132, 3200682.0, 332672080.5826175
316758, 0.455682721, 232085.0, 509312.7066365108
321012, 0.004974448, 1207398.0, 242719996.26893273
321005, 0.019195813, 1168515.0, 60873431.09666676
321006, 0.051704227, 4893053.0, 94635454.07999234
321007, 0.202763102, 368582.0, 1817796.2181699113
321009, 0.014732928, 1445917.0, 98141862.90735963
321393, 0.049689179, 12103.0, 243574.15927520156
321311, 0.000473243, 1546843.0, 3268601965.58639
321313, 0.026586081, 1066338.0, 40108882.53894961
321712, 0.08437814, 52931.0, 627307.0252555935
321730, 0.102670881, 60260.0, 586923.9594817541
321732, 0.344691952, 224210.0, 650464.853325035
321735, 0.02366129, 15627.0, 660445.816774994
321755, 0.213437556, 0.0, 0.0
321758, 0.03751759, 25113.0, 669366.022710947
321760, 0.146153421, 97154.0, 664739.8284300166
321773, 0.021058783, 11972.0, 568503.8874278727
321774, 0.043723139, 25652.0, 586691.6371214793
321775, 0.00480724, 2855.0, 593895.8737238
321776, 0.010304681, 6305.0, 611857.8537268646
321777, 0.058616866, 36748.0, 626918.5391112517
321778, 0.036058295, 22958.0, 636691.2245850782
321780, 0.113674716, 73769.0, 648948.1794702703
321781, 0.068009102, 44316.0, 651618.6612786036
321813, 0.120243809, 69754.0, 580104.7104221391
321815, 0.005120206, 3151.0, 615404.9270673875
321817, 0.148473508, 95441.0, 642815.0131671975
321818, 0.138015405, 90605.0, 656484.6873434165
321820, 0.032068958, 21271.0, 663289.4027925696
321831, 0.24804289, 150391.0, 606310.465097387
321832, 0.115961844, 74928.0, 646143.5711560434
321833, 0.074190773, 48568.0, 654636.6621628272
321834, 0.049809506, 32517.0, 652827.1932670843
321879, 0.090170659, 53591.0, 594328.5830926443
321880, 0.04137582, 25581.0, 618259.6502014945
321887, 0.276941304, 169766.0, 613003.5409958205
321908, 0.145314737, 86028.0, 592011.5314938773
321909, 0.340569377, 221574.0, 650598.7178054473
321917, 0.261219957, 161132.0, 616844.1410470027
321919, 0.001488823, 1008.0, 677044.8871356769
321933, 0.101007248, 60064.0, 594650.3957814988
321960, 0.007304486, 3580.0, 490109.77637577784
321961, 0.132126192, 76388.0, 578144.2637807953
321973, 0.358666936, 225375.0, 628368.4872474556
321975, 0.145783784, 95362.0, 654133.1098937588
321988, 0.384021716, 241303.0, 628357.6942299794
321990, 0.081031948, 53039.0, 654544.303933061
322013, 0.001146111, 677.0, 590693.2225587225
322014, 0.006669868, 3695.0, 553983.9768942954
322022, 0.452968644, 285354.0, 629964.1350009207
322040, 0.013692424, 7752.0, 566152.4942552174
322222, 0.092744223, 9100808.0, 98128031.11197557
322252, 0.4203577, 377577.0, 898227.8664099646
322317, 0.01924591, 1105525.0, 57442074.70574267
322319, 0.055502234, 6517160.0, 117421579.8232554
322324, 0.069259748, 6450588.0, 93136174.85296078
322348, 0.414112209, 685473.0, 1655283.2423252703
322355, 0.033876145, 5010739.0, 147913494.87965646
322480, 0.1093374, 6554320.0, 59945819.08843634
322492, 0.287515085, 48139.0, 167431.2149569474
322510, 0.00222889, 1920118.0, 861468264.4724505
322602, 0.024109024, 56441.0, 2341073.61625257
322603, 0.002693892, 1956315.0, 726203945.8151997
322605, 0.089623887, 3149878.0, 35145518.73877106
322617, 0.136645564, 7333064.0, 53664852.23040245
